n_components,n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
100,50,,2,sqrt,1,0.751269035532995,0.7040694397353,0.950897160349268,0.8156794425087108,2.5275299549102783,0.06176280975341797
100,50,,2,sqrt,2,0.751269035532995,0.7052563945923452,0.9322804334924482,0.8153310104529616,1.0920250415802002,0.029327869415283203
100,50,,2,log2,1,0.7741116751269036,0.7284373590226908,0.9456633261090738,0.8121951219512195,0.6831092834472656,0.027263879776000977
100,50,,2,log2,2,0.7538071065989848,0.7014792494077909,0.9474379405334576,0.821602787456446,0.6806850433349609,0.026324033737182617
100,50,,5,sqrt,1,0.7791878172588832,0.7282994011100853,0.9457393933794149,0.8128919860627178,1.063075065612793,0.027812719345092773
100,50,,5,sqrt,2,0.7309644670050761,0.6816181651790025,0.9229032606485634,0.8101045296167249,1.003511667251587,0.027773380279541016
100,50,,5,log2,1,0.7538071065989848,0.7029059350877364,0.9370600703101705,0.810801393728223,0.6804118156433105,0.02780008316040039
100,50,,5,log2,2,0.7690355329949239,0.7181291758434155,0.9372579678038225,0.8146341463414635,0.6911158561706543,0.030313968658447266
100,50,10.0,2,sqrt,1,0.7411167512690355,0.701137160504307,0.9138072186576754,0.7790940766550523,0.766455888748169,0.03581809997558594
100,50,10.0,2,sqrt,2,0.7411167512690355,0.7018134501934894,0.8998443513302805,0.7752613240418118,0.7477078437805176,0.02781391143798828
100,50,10.0,2,log2,1,0.7411167512690355,0.6899100069640092,0.9017713633684812,0.7804878048780488,0.56650710105896,0.028151988983154297
100,50,10.0,2,log2,2,0.7461928934010152,0.7026191256360095,0.890182299606449,0.7759581881533101,0.5347251892089844,0.029504776000976562
100,50,10.0,5,sqrt,1,0.733502538071066,0.6874793866252602,0.8981191055930072,0.7822299651567943,0.7379560470581055,0.027866840362548828
100,50,10.0,5,sqrt,2,0.7131979695431472,0.6748006547143877,0.9044004521592148,0.7745644599303135,0.7653710842132568,0.042768001556396484
