Classifier,Params,Scaling,Holdout_Acc,CV_Acc,Holdout_F1,CV_F1,Holdout_ROC_AUC,CV_ROC_AUC,Runtime
RF,"{'n_estimators': 50, 'max_depth': 10, 'max_features': 'sqrt'}",Scaled,0.9824561403508771,0.9431884057971015,0.982400427871839,0.9422000436493189,0.9791666666666667,0.9755299539170508,6.1893861293792725
RF,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}",Scaled,0.9824561403508771,0.9475362318840579,0.982400427871839,0.9468034171453876,0.9791666666666667,0.9746543778801844,7.847750902175903
RF,"{'n_estimators': 100, 'max_depth': 5, 'max_features': 'log2'}",Scaled,0.9824561403508771,0.9518840579710146,0.982400427871839,0.9514293975987282,0.9791666666666667,0.9717972350230415,8.452032089233398
RF,"{'n_estimators': 200, 'max_depth': None, 'max_features': 'sqrt'}",Scaled,0.9824561403508771,0.9475362318840579,0.982400427871839,0.9468326266160876,0.9791666666666667,0.9739016897081413,18.103842973709106
RF,"{'n_estimators': 50, 'max_depth': 10, 'max_features': 'sqrt'}",Unscaled,0.9824561403508771,0.9431884057971015,0.982400427871839,0.9422000436493189,0.9791666666666667,0.9755299539170508,4.2476208209991455
RF,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}",Unscaled,0.9824561403508771,0.9475362318840579,0.982400427871839,0.9468034171453876,0.9791666666666667,0.9746543778801844,8.182228088378906
SVM,"{'C': 0.1, 'kernel': 'linear'}",Scaled,1.0,0.973719806763285,1.0,0.9733701430810168,1.0,0.9934254992319509,0.4574270248413086
SVM,"{'C': 1.0, 'kernel': 'rbf', 'gamma': 'scale'}",Scaled,1.0,0.9738164251207729,1.0,0.973554248559142,1.0,0.9877112135176651,1.068817138671875
SVM,"{'C': 10.0, 'kernel': 'rbf', 'gamma': 'auto'}",Scaled,0.9824561403508771,0.9692753623188406,0.9825002065603569,0.9691349037038103,0.9848484848484849,0.9868509984639019,0.4614880084991455
SVM,"{'C': 1.0, 'kernel': 'linear'}",Scaled,1.0,0.9735265700483092,1.0,0.973519222405162,1.0,0.9817511520737329,0.33963990211486816
SVM,"{'C': 0.1, 'kernel': 'linear'}",Unscaled,0.9649122807017544,0.9342028985507247,0.9646655000673039,0.9337098184109169,0.9583333333333333,0.9695238095238097,6.912342071533203
SVM,"{'C': 1.0, 'kernel': 'rbf', 'gamma': 'scale'}",Unscaled,0.9298245614035088,0.8860869565217391,0.9286397812713602,0.8801715597813816,0.9166666666666667,0.9511520737327188,0.4485912322998047
CNN,"{'filters': 16, 'epochs': 10}",Scaled,0.9824561403508771,0.9719298245614034,0.982400427871839,0.9717839130029032,0.9791666666666667,0.9628135922964566,27.89972686767578
CNN,"{'filters': 32, 'epochs': 10}",Scaled,0.9824561403508771,0.9789473684210526,0.982400427871839,0.978828689370485,0.9791666666666667,0.9715257135085776,26.410125970840454
CNN,"{'filters': 16, 'epochs': 20}",Scaled,1.0,0.9824561403508772,1.0,0.9823128296967306,1.0,0.974157292455946,32.48805117607117
