n_components,n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
100,50,,2,sqrt,1,0.7791878172588832,0.7286487501599614,0.9587148265246974,0.8167247386759581,2.4968440532684326,0.03171801567077637
100,50,,2,sqrt,2,0.7715736040609137,0.7202164365524878,0.9346267114628181,0.8101045296167249,1.3910810947418213,0.0437159538269043
100,50,,2,log2,1,0.7817258883248731,0.7264704861439168,0.9500170687841933,0.8104529616724738,2.10064697265625,0.06243610382080078
100,50,,2,log2,2,0.766497461928934,0.7172141632361035,0.9443225644467097,0.8128919860627178,1.219222068786621,0.07848882675170898
100,50,,5,sqrt,1,0.7690355329949239,0.7209945763417966,0.9500605771850714,0.8142857142857143,1.513153076171875,0.036313772201538086
100,50,,5,sqrt,2,0.7842639593908629,0.7328845014814545,0.9372561903777603,0.810801393728223,2.3270010948181152,0.08350300788879395
100,50,,5,log2,1,0.7411167512690355,0.6909843767658451,0.9390242608630863,0.8125435540069686,0.7142908573150635,0.037175893783569336
100,50,,5,log2,2,0.7690355329949239,0.7184433416940885,0.9506328286517075,0.8090592334494774,0.6436207294464111,0.02926015853881836
100,50,10.0,2,sqrt,1,0.733502538071066,0.6904406234858309,0.9145088087185467,0.7808362369337979,1.1319279670715332,0.036604881286621094
100,50,10.0,2,sqrt,2,0.7309644670050761,0.6911436122021372,0.8982145264731771,0.778397212543554,1.6707119941711426,0.04935026168823242
100,50,10.0,2,log2,1,0.7411167512690355,0.6988954038751709,0.9047993973932619,0.7742160278745644,0.7744619846343994,0.03950190544128418
100,50,10.0,2,log2,2,0.7411167512690355,0.7051925165140985,0.8969487917600389,0.7707317073170732,0.7673799991607666,0.029471158981323242
100,50,10.0,5,sqrt,1,0.7157360406091371,0.6693746071529146,0.9042685399481522,0.778397212543554,1.392488956451416,0.06014084815979004
100,50,10.0,5,sqrt,2,0.7360406091370558,0.6934279818978617,0.9062848560294223,0.7749128919860627,1.223343849182129,0.05488014221191406
100,50,10.0,5,log2,1,0.7436548223350253,0.7031492276668726,0.9019263789080119,0.7742160278745644,0.8227570056915283,0.045049190521240234
100,50,10.0,5,log2,2,0.733502538071066,0.6940194219897674,0.8930314738435055,0.7700348432055749,0.8801710605621338,0.03562808036804199
100,100,,2,sqrt,1,0.7893401015228426,0.739681172140673,0.9606794468990718,0.8264808362369338,3.1656339168548584,0.06877589225769043
100,100,,2,sqrt,2,0.7766497461928934,0.7243242645835067,0.9441348960004019,0.8195121951219513,3.5089519023895264,0.05677390098571777
100,100,,2,log2,1,0.7766497461928934,0.7226843622753316,0.9533662938950503,0.8236933797909408,1.5811469554901123,0.04623699188232422
100,100,,2,log2,2,0.7842639593908629,0.7339294624564594,0.9472275900624662,0.8264808362369338,1.7999560832977295,0.15943503379821777
100,100,,5,sqrt,1,0.7766497461928934,0.7262953713942872,0.9508553064023391,0.8181184668989548,2.155881881713867,0.05572009086608887
100,100,,5,sqrt,2,0.7842639593908629,0.7346062169289019,0.9356224573037123,0.8202090592334494,2.2049169540405273,0.040132761001586914
100,100,,5,log2,1,0.751269035532995,0.6991945459809122,0.9472285230250036,0.8250871080139373,1.6250040531158447,0.04079103469848633
100,100,,5,log2,2,0.7741116751269036,0.7217627060735506,0.950060850999989,0.8202090592334497,1.308763027191162,0.03877401351928711
100,100,10.0,2,sqrt,1,0.7385786802030457,0.6909585536071235,0.9158988338846632,0.7839721254355401,1.5634729862213135,0.052111148834228516
100,100,10.0,2,sqrt,2,0.7208121827411168,0.68042203475007,0.8993730196997567,0.789198606271777,1.685030221939087,0.05185389518737793
100,100,10.0,2,log2,1,0.7436548223350253,0.6994145190326265,0.9074328751411982,0.7822299651567943,1.0093879699707031,0.03984403610229492
100,100,10.0,2,log2,2,0.7309644670050761,0.690200872213884,0.8933631949228737,0.7860627177700349,1.0028626918792725,0.05532193183898926
100,100,10.0,5,sqrt,1,0.7436548223350253,0.6987361105078272,0.9061207284639661,0.7905923344947735,1.5201170444488525,0.03739118576049805
100,100,10.0,5,sqrt,2,0.7360406091370558,0.6911294368331976,0.9048268684484303,0.7902439024390244,1.6406290531158447,0.05529594421386719
100,100,10.0,5,log2,1,0.7436548223350253,0.7026118602022436,0.8973938743253301,0.7829268292682927,1.0228240489959717,0.054470062255859375
100,100,10.0,5,log2,2,0.7436548223350253,0.704172122673232,0.893470462656575,0.781184668989547,0.9854271411895752,0.04223203659057617
