n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,0.9166666666666666,0.917966211825861,0.9966827565612276,0.9166666666666666,0.4654519557952881,0.0060160160064697266
50,,2,sqrt,2,0.9537037037037037,0.9535923335923336,0.9965753549868529,0.9074074074074074,0.43299102783203125,0.009562015533447266
50,,2,log2,1,0.9351851851851852,0.9358302133935662,0.9985088791288563,0.9097222222222222,0.24128103256225586,0.011589765548706055
50,,2,log2,2,0.9074074074074074,0.9082669229762453,0.9941809607650491,0.9097222222222223,0.461871862411499,0.014170169830322266
50,,5,sqrt,1,0.9166666666666666,0.916708772001484,0.9962072470880504,0.9143518518518517,1.202497959136963,0.00900411605834961
50,,5,sqrt,2,0.9444444444444444,0.9443855402243202,0.9971029778653291,0.9050925925925926,0.6709368228912354,0.01056981086730957
50,,5,log2,1,0.9444444444444444,0.9445251826210469,0.997754806975018,0.9166666666666666,0.5578229427337646,0.011187076568603516
50,,5,log2,2,0.9444444444444444,0.9447355005337125,0.9970759335813033,0.9004629629629629,0.32390499114990234,0.0056040287017822266
50,10.0,2,sqrt,1,0.9166666666666666,0.917694878221194,0.9958080904993435,0.9282407407407408,0.3585648536682129,0.0055103302001953125
50,10.0,2,sqrt,2,0.9444444444444444,0.9441533722430192,0.9974947029093012,0.9097222222222222,0.33866214752197266,0.007812738418579102
50,10.0,2,log2,1,0.9444444444444444,0.9446609438330571,0.9984156222353457,0.914351851851852,0.5916321277618408,0.005572795867919922
50,10.0,2,log2,2,0.9351851851851852,0.9357663456202852,0.9956412517259834,0.9050925925925926,0.36754798889160156,0.008130073547363281
50,10.0,5,sqrt,1,0.9351851851851852,0.9351388410851479,0.997445806466859,0.9189814814814815,0.2204289436340332,0.0050601959228515625
50,10.0,5,sqrt,2,0.9444444444444444,0.9443855402243202,0.9979377084388721,0.8981481481481483,0.21022891998291016,0.005050182342529297
50,10.0,5,log2,1,0.9537037037037037,0.95354917939459,0.9985069863157643,0.9120370370370371,0.2105562686920166,0.01130819320678711
50,10.0,5,log2,2,0.9444444444444444,0.9440885692535674,0.9980326932413036,0.898148148148148,0.1817018985748291,0.008587837219238281
50,20.0,2,sqrt,1,0.9166666666666666,0.917966211825861,0.9966827565612276,0.9166666666666666,0.2208712100982666,0.009694099426269531
50,20.0,2,sqrt,2,0.9537037037037037,0.9535923335923336,0.9965753549868529,0.9074074074074074,0.2155590057373047,0.013534069061279297
50,20.0,2,log2,1,0.9351851851851852,0.9358302133935662,0.9985088791288563,0.9097222222222222,0.18798112869262695,0.0051441192626953125
50,20.0,2,log2,2,0.9074074074074074,0.9082669229762453,0.9941809607650491,0.9097222222222223,0.18144607543945312,0.004987001419067383
50,20.0,5,sqrt,1,0.9166666666666666,0.916708772001484,0.9962072470880504,0.9143518518518517,0.22380685806274414,0.008471965789794922
50,20.0,5,sqrt,2,0.9444444444444444,0.9443855402243202,0.9971029778653291,0.9050925925925926,0.20604324340820312,0.005136966705322266
50,20.0,5,log2,1,0.9444444444444444,0.9445251826210469,0.997754806975018,0.9166666666666666,0.18374133110046387,0.005010843276977539
50,20.0,5,log2,2,0.9444444444444444,0.9447355005337125,0.9970759335813033,0.9004629629629629,0.18243885040283203,0.004901885986328125
100,,2,sqrt,1,0.9259259259259259,0.9264705882352942,0.9978251147388881,0.9305555555555555,0.449429988861084,0.009282112121582031
