n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,1.0,1.0,1.0,1.0,0.37891411781311035,0.005976200103759766
50,,2,sqrt,2,1.0,1.0,1.0,1.0,0.688338041305542,0.005835056304931641
50,,2,log2,1,1.0,1.0,1.0,0.9988425925925926,0.34084177017211914,0.007578134536743164
50,,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.6422090530395508,0.007702827453613281
50,,5,sqrt,1,1.0,1.0,1.0,1.0,0.547731876373291,0.005625724792480469
50,,5,sqrt,2,1.0,1.0,1.0,1.0,0.39083385467529297,0.007292270660400391
50,,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.47873830795288086,0.006047964096069336
50,,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5387718677520752,0.007051944732666016
50,10.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.46659374237060547,0.008251190185546875
50,10.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.6205220222473145,0.007463932037353516
50,10.0,2,log2,1,1.0,1.0,1.0,1.0,0.45562291145324707,0.007621049880981445
50,10.0,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5785789489746094,0.006384134292602539
50,10.0,5,sqrt,1,1.0,1.0,1.0,1.0,0.48174619674682617,0.006123065948486328
50,10.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.6242208480834961,0.008546113967895508
50,10.0,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.4438779354095459,0.007178068161010742
50,10.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5454988479614258,0.006749868392944336
50,20.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.34934329986572266,0.005463123321533203
50,20.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.5607759952545166,0.005499839782714844
50,20.0,2,log2,1,1.0,1.0,1.0,0.9988425925925926,0.5635440349578857,0.006501674652099609
50,20.0,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.3156473636627197,0.00565028190612793
50,20.0,5,sqrt,1,1.0,1.0,1.0,1.0,0.6053879261016846,0.006172895431518555
50,20.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.4713890552520752,0.007086753845214844
50,20.0,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.6077439785003662,0.005480051040649414
50,20.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.4488997459411621,0.010935068130493164
100,,2,sqrt,1,1.0,1.0,1.0,1.0,1.0001728534698486,0.012163162231445312
100,,2,sqrt,2,1.0,1.0,1.0,1.0,0.6766097545623779,0.015372037887573242
100,,2,log2,1,1.0,1.0,1.0,1.0,0.5728039741516113,0.015002250671386719
100,,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5546960830688477,0.012405872344970703
100,,5,sqrt,1,1.0,1.0,1.0,1.0,0.6637089252471924,0.01193094253540039
100,,5,sqrt,2,1.0,1.0,1.0,1.0,0.6577761173248291,0.010462760925292969
100,,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.5706548690795898,0.012508869171142578
100,,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5735301971435547,0.013392925262451172
100,10.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.6651937961578369,0.01221919059753418
100,10.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.6442909240722656,0.011898040771484375
100,10.0,2,log2,1,1.0,1.0,1.0,1.0,0.5603351593017578,0.012233972549438477
100,10.0,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.552638053894043,0.012526988983154297
100,10.0,5,sqrt,1,1.0,1.0,1.0,1.0,0.6540060043334961,0.01224827766418457
100,10.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.6400139331817627,0.012350082397460938
100,10.0,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.5601170063018799,0.010384798049926758
100,10.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5645961761474609,0.012555837631225586
100,20.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.6666109561920166,0.01048588752746582
100,20.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.6870381832122803,0.01228022575378418
100,20.0,2,log2,1,1.0,1.0,1.0,1.0,0.5713179111480713,0.012759923934936523
100,20.0,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.551865816116333,0.012562990188598633
100,20.0,5,sqrt,1,1.0,1.0,1.0,1.0,0.6707100868225098,0.012434005737304688
100,20.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.6491971015930176,0.013041973114013672
100,20.0,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.5684647560119629,0.0124969482421875
100,20.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5649709701538086,0.012468099594116211
