n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,1.0,1.0,1.0,1.0,0.57076096534729,0.005600929260253906
50,,2,sqrt,2,1.0,1.0,1.0,1.0,0.4143378734588623,0.006939888000488281
50,,2,log2,1,1.0,1.0,1.0,1.0,0.5397932529449463,0.010592937469482422
50,,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5999979972839355,0.011719942092895508
50,,5,sqrt,1,1.0,1.0,1.0,1.0,0.5162398815155029,0.011133193969726562
50,,5,sqrt,2,1.0,1.0,1.0,1.0,0.4146847724914551,0.005722999572753906
50,,5,log2,1,1.0,1.0,1.0,1.0,0.6670331954956055,0.006101131439208984
50,,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.4594590663909912,0.014156103134155273
50,10.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.6755990982055664,0.007050037384033203
50,10.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.5756480693817139,0.005678892135620117
50,10.0,2,log2,1,1.0,1.0,1.0,1.0,0.43861818313598633,0.005625009536743164
50,10.0,2,log2,2,1.0,1.0,1.0,1.0,0.5479938983917236,0.023534059524536133
50,10.0,5,sqrt,1,1.0,1.0,1.0,1.0,0.47337794303894043,0.00625300407409668
50,10.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.3852579593658447,0.008502006530761719
50,10.0,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.6269209384918213,0.009147882461547852
50,10.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.3372478485107422,0.005692005157470703
50,20.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.5124399662017822,0.00591588020324707
50,20.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.35721302032470703,0.005726814270019531
50,20.0,2,log2,1,1.0,1.0,1.0,1.0,0.5143098831176758,0.012866973876953125
50,20.0,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.4514141082763672,0.0059468746185302734
50,20.0,5,sqrt,1,1.0,1.0,1.0,1.0,0.672245979309082,0.008355140686035156
50,20.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.47643113136291504,0.019769906997680664
50,20.0,5,log2,1,1.0,1.0,1.0,1.0,0.44176411628723145,0.005923748016357422
50,20.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.6021897792816162,0.010282039642333984
100,,2,sqrt,1,1.0,1.0,1.0,1.0,0.9479019641876221,0.015857934951782227
100,,2,sqrt,2,1.0,1.0,1.0,1.0,0.716407060623169,0.012166976928710938
100,,2,log2,1,1.0,1.0,1.0,1.0,0.7054011821746826,0.01666402816772461
100,,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5952849388122559,0.013672828674316406
100,,5,sqrt,1,1.0,1.0,1.0,1.0,0.6966357231140137,0.016144752502441406
100,,5,sqrt,2,1.0,1.0,1.0,1.0,0.6765542030334473,0.010885953903198242
100,,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.5942878723144531,0.011715888977050781
100,,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5786449909210205,0.014058113098144531
100,10.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.6953458786010742,0.016068220138549805
100,10.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.6859939098358154,0.012839794158935547
100,10.0,2,log2,1,1.0,1.0,1.0,1.0,0.5986709594726562,0.014256715774536133
100,10.0,2,log2,2,1.0,1.0,1.0,1.0,0.5901412963867188,0.0106048583984375
100,10.0,5,sqrt,1,1.0,1.0,1.0,1.0,0.7689080238342285,0.014157772064208984
100,10.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.78078293800354,0.012161016464233398
100,10.0,5,log2,1,1.0,1.0,1.0,1.0,0.590587854385376,0.01346898078918457
100,10.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5773613452911377,0.01239776611328125
100,20.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.6784379482269287,0.016448020935058594
100,20.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.7325561046600342,0.015719890594482422
100,20.0,2,log2,1,1.0,1.0,1.0,1.0,0.6525440216064453,0.013831853866577148
100,20.0,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5731120109558105,0.013985872268676758
100,20.0,5,sqrt,1,1.0,1.0,1.0,1.0,0.6990838050842285,0.0104522705078125
100,20.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.7200801372528076,0.02993297576904297
100,20.0,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.5978579521179199,0.010658025741577148
100,20.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5742111206054688,0.010657072067260742
