n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,1.0,1.0,1.0,1.0,0.5707330703735352,0.012297868728637695
50,,2,sqrt,2,1.0,1.0,1.0,1.0,0.36913394927978516,0.0061299800872802734
50,,2,log2,1,1.0,1.0,1.0,0.9988425925925926,0.5688090324401855,0.010994911193847656
50,,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.47577595710754395,0.005659818649291992
50,,5,sqrt,1,1.0,1.0,1.0,1.0,0.6573989391326904,0.0059337615966796875
50,,5,sqrt,2,1.0,1.0,1.0,1.0,0.3650369644165039,0.006150007247924805
50,,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.46193695068359375,0.00636601448059082
50,,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.517937183380127,0.007588863372802734
50,10.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.5437791347503662,0.006650686264038086
50,10.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.49248695373535156,0.007567644119262695
50,10.0,2,log2,1,1.0,1.0,1.0,1.0,0.6059370040893555,0.008469820022583008
50,10.0,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.31862831115722656,0.0058879852294921875
50,10.0,5,sqrt,1,1.0,1.0,1.0,1.0,0.6928467750549316,0.00849294662475586
50,10.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.5259711742401123,0.009491920471191406
50,10.0,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.3177969455718994,0.006495952606201172
50,10.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.7721076011657715,0.016286849975585938
50,20.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.8654952049255371,0.01599574089050293
50,20.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.8672120571136475,0.01939702033996582
50,20.0,2,log2,1,1.0,1.0,1.0,0.9988425925925926,0.6501083374023438,0.013628959655761719
50,20.0,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.4849090576171875,0.008992910385131836
50,20.0,5,sqrt,1,1.0,1.0,1.0,1.0,0.524834156036377,0.0068340301513671875
50,20.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.9015018939971924,0.011687994003295898
50,20.0,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.5596799850463867,0.014020204544067383
50,20.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.3707461357116699,0.013864755630493164
100,,2,sqrt,1,1.0,1.0,1.0,1.0,1.1344020366668701,0.016499996185302734
100,,2,sqrt,2,1.0,1.0,1.0,1.0,0.9071600437164307,0.016415834426879883
100,,2,log2,1,1.0,1.0,1.0,1.0,0.9804449081420898,0.018285036087036133
100,,2,log2,2,1.0,1.0,1.0,0.9988425925925926,1.0436091423034668,0.02268695831298828
100,,5,sqrt,1,1.0,1.0,1.0,1.0,1.6746242046356201,0.03816485404968262
100,,5,sqrt,2,1.0,1.0,1.0,1.0,0.923856258392334,0.017601966857910156
100,,5,log2,1,1.0,1.0,1.0,0.9988425925925926,1.1065196990966797,0.0164642333984375
100,,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.9839649200439453,0.018209218978881836
100,10.0,2,sqrt,1,1.0,1.0,1.0,1.0,1.2173960208892822,0.017670154571533203
100,10.0,2,sqrt,2,1.0,1.0,1.0,1.0,1.1778130531311035,0.019734859466552734
100,10.0,2,log2,1,1.0,1.0,1.0,1.0,1.0833101272583008,0.017600059509277344
100,10.0,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.942307710647583,0.011089086532592773
100,10.0,5,sqrt,1,1.0,1.0,1.0,1.0,1.1029510498046875,0.017688751220703125
100,10.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.9056510925292969,0.01564478874206543
100,10.0,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.8255119323730469,0.016431808471679688
100,10.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.8218708038330078,0.017367124557495117
100,20.0,2,sqrt,1,1.0,1.0,1.0,1.0,1.1390118598937988,0.016867876052856445
100,20.0,2,sqrt,2,1.0,1.0,1.0,1.0,1.1306700706481934,0.014785051345825195
100,20.0,2,log2,1,1.0,1.0,1.0,1.0,1.0618338584899902,0.018046140670776367
100,20.0,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.9974839687347412,0.02328205108642578
100,20.0,5,sqrt,1,1.0,1.0,1.0,1.0,1.1765849590301514,0.015861988067626953
100,20.0,5,sqrt,2,1.0,1.0,1.0,1.0,1.1848058700561523,0.014220952987670898
100,20.0,5,log2,1,1.0,1.0,1.0,0.9988425925925926,1.0262253284454346,0.016009807586669922
100,20.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.9186041355133057,0.018249988555908203
