n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,1.0,1.0,1.0,0.9884259259259259,0.44243288040161133,0.010334968566894531
50,,2,sqrt,2,1.0,1.0,1.0,0.9884259259259259,0.316864013671875,0.011508941650390625
50,,2,log2,1,1.0,1.0,1.0,0.9861111111111112,0.8279929161071777,0.0051898956298828125
50,,2,log2,2,1.0,1.0,1.0,0.9745370370370371,0.3282508850097656,0.0049359798431396484
50,,5,sqrt,1,1.0,1.0,1.0,0.9907407407407408,0.5041811466217041,0.04883289337158203
50,,5,sqrt,2,1.0,1.0,1.0,0.9907407407407408,0.5194699764251709,0.008868217468261719
50,,5,log2,1,1.0,1.0,1.0,0.9814814814814815,0.9134719371795654,0.02673196792602539
50,,5,log2,2,1.0,1.0,1.0,0.9814814814814815,0.2728259563446045,0.013400077819824219
50,10.0,2,sqrt,1,1.0,1.0,1.0,0.9907407407407408,0.7014710903167725,0.05065321922302246
50,10.0,2,sqrt,2,1.0,1.0,1.0,0.9884259259259259,0.9653060436248779,0.03215813636779785
50,10.0,2,log2,1,1.0,1.0,1.0,0.9861111111111112,0.8703207969665527,0.01795196533203125
50,10.0,2,log2,2,1.0,1.0,1.0,0.9745370370370371,0.8165450096130371,0.005945682525634766
50,10.0,5,sqrt,1,1.0,1.0,1.0,0.9907407407407408,0.9037578105926514,0.05074191093444824
50,10.0,5,sqrt,2,1.0,1.0,1.0,0.9930555555555555,1.0371971130371094,0.015157938003540039
50,10.0,5,log2,1,1.0,1.0,1.0,0.9814814814814815,0.30437779426574707,0.005918979644775391
50,10.0,5,log2,2,1.0,1.0,1.0,0.976851851851852,0.342742919921875,0.006218910217285156
50,20.0,2,sqrt,1,1.0,1.0,1.0,0.9884259259259259,0.376849889755249,0.00746917724609375
50,20.0,2,sqrt,2,1.0,1.0,1.0,0.9884259259259259,0.27502894401550293,0.007200002670288086
50,20.0,2,log2,1,1.0,1.0,1.0,0.9861111111111112,0.5759758949279785,0.0065882205963134766
50,20.0,2,log2,2,1.0,1.0,1.0,0.9745370370370371,0.24042582511901855,0.00795292854309082
50,20.0,5,sqrt,1,1.0,1.0,1.0,0.9907407407407408,0.22960996627807617,0.009479045867919922
50,20.0,5,sqrt,2,1.0,1.0,1.0,0.9907407407407408,0.20137906074523926,0.010921955108642578
50,20.0,5,log2,1,1.0,1.0,1.0,0.9814814814814815,0.19617509841918945,0.0052509307861328125
50,20.0,5,log2,2,1.0,1.0,1.0,0.9814814814814815,0.17618203163146973,0.008006811141967773
100,,2,sqrt,1,1.0,1.0,1.0,0.9930555555555555,0.4414341449737549,0.016592979431152344
100,,2,sqrt,2,1.0,1.0,1.0,0.9884259259259259,0.41321420669555664,0.014184951782226562
100,,2,log2,1,1.0,1.0,1.0,0.9861111111111112,0.3975040912628174,0.012495994567871094
100,,2,log2,2,1.0,1.0,1.0,0.9768518518518517,0.37212228775024414,0.012491703033447266
100,,5,sqrt,1,1.0,1.0,1.0,0.9930555555555555,0.5895411968231201,0.010059118270874023
100,,5,sqrt,2,1.0,1.0,1.0,0.9907407407407408,0.41089701652526855,0.012910842895507812
100,,5,log2,1,1.0,1.0,1.0,0.9837962962962963,0.6459689140319824,0.01340484619140625
100,,5,log2,2,1.0,1.0,1.0,0.9814814814814815,0.40930891036987305,0.012934207916259766
100,10.0,2,sqrt,1,1.0,1.0,1.0,0.9907407407407408,0.43378114700317383,0.00941777229309082
100,10.0,2,sqrt,2,1.0,1.0,1.0,0.9884259259259259,0.41354894638061523,0.012240171432495117
100,10.0,2,log2,1,1.0,1.0,1.0,0.9861111111111112,0.4140191078186035,0.012556076049804688
100,10.0,2,log2,2,1.0,1.0,1.0,0.9791666666666666,0.41338515281677246,0.012969970703125
100,10.0,5,sqrt,1,1.0,1.0,1.0,0.9907407407407408,0.5858078002929688,0.012157917022705078
100,10.0,5,sqrt,2,1.0,1.0,1.0,0.9884259259259259,0.4121532440185547,0.010205984115600586
100,10.0,5,log2,1,1.0,1.0,1.0,0.9814814814814815,0.372952938079834,0.012184858322143555
100,10.0,5,log2,2,1.0,1.0,1.0,0.9814814814814815,0.3852570056915283,0.01223301887512207
100,20.0,2,sqrt,1,1.0,1.0,1.0,0.9930555555555555,0.6066880226135254,0.012129783630371094
100,20.0,2,sqrt,2,1.0,1.0,1.0,0.9884259259259259,0.41776299476623535,0.012217044830322266
100,20.0,2,log2,1,1.0,1.0,1.0,0.9861111111111112,0.38434290885925293,0.012374162673950195
100,20.0,2,log2,2,1.0,1.0,1.0,0.9768518518518517,0.7221639156341553,0.012079000473022461
100,20.0,5,sqrt,1,1.0,1.0,1.0,0.9930555555555555,0.42041611671447754,0.011448144912719727
100,20.0,5,sqrt,2,1.0,1.0,1.0,0.9907407407407408,0.4049527645111084,0.010225296020507812
100,20.0,5,log2,1,1.0,1.0,1.0,0.9837962962962963,0.37339210510253906,0.01222681999206543
100,20.0,5,log2,2,1.0,1.0,1.0,0.9814814814814815,0.5126638412475586,0.012379169464111328
