n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,0.9953703703703703,0.9953559990145356,0.9999755046051342,0.9710648148148148,0.4136838912963867,0.005699872970581055
50,,2,sqrt,2,0.9907407407407407,0.9907464475261086,0.9999307017377508,0.9664351851851852,0.40825605392456055,0.005690097808837891
50,,2,log2,1,0.9953703703703703,0.9953518592562974,1.0,0.9733796296296297,0.5625460147857666,0.0065991878509521484
50,,2,log2,2,0.9907407407407407,0.9907464475261086,0.9999265138154028,0.96875,0.4413878917694092,0.007781028747558594
50,,5,sqrt,1,0.9953703703703703,0.9953732237630543,0.9999510092102685,0.9675925925925926,0.6318209171295166,0.008388757705688477
50,,5,sqrt,2,1.0,1.0,0.9999020184205369,0.9675925925925926,0.4139289855957031,0.010406732559204102
50,,5,log2,1,1.0,1.0,0.9999020184205369,0.9699074074074074,0.5108010768890381,0.0065801143646240234
50,,5,log2,2,0.9953703703703703,0.9953732237630543,0.9999755046051342,0.96875,0.49049806594848633,0.006242990493774414
50,10.0,2,sqrt,1,0.9953703703703703,0.9953732237630543,0.9999531031714425,0.9710648148148149,0.6763830184936523,0.00830221176147461
50,10.0,2,sqrt,2,0.9953703703703703,0.9953559990145356,0.9999775985663082,0.9652777777777777,0.37938499450683594,0.005553245544433594
50,10.0,2,log2,1,0.9953703703703703,0.9953559990145356,0.9999265138154028,0.9814814814814815,0.46076393127441406,0.006507158279418945
50,10.0,2,log2,2,1.0,1.0,0.9999510092102685,0.9733796296296297,0.5248866081237793,0.005669116973876953
50,10.0,5,sqrt,1,0.9907407407407407,0.9907292227775899,0.9999755046051342,0.9722222222222223,0.5446121692657471,0.0057408809661865234
50,10.0,5,sqrt,2,0.9953703703703703,0.9953559990145356,1.0,0.96875,0.39983320236206055,0.0055501461029052734
50,10.0,5,log2,1,0.9907407407407407,0.9907464475261085,0.9999265138154028,0.9699074074074074,0.49212217330932617,0.0059659481048583984
50,10.0,5,log2,2,0.9953703703703703,0.9953732237630543,0.9999510092102685,0.9675925925925926,0.5158131122589111,0.0055429935455322266
50,20.0,2,sqrt,1,0.9953703703703703,0.9953559990145356,0.9999755046051342,0.9710648148148148,0.5863978862762451,0.00851893424987793
