n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time,holdout_cv_diff
50,,2,sqrt,1,0.88,0.8795685267025335,0.9776333333333334,0.8637499999999999,0.32686591148376465,0.00896000862121582,0.016250000000000098
50,,2,sqrt,2,0.865,0.8641802016772635,0.9750541666666667,0.8568749999999999,0.28868603706359863,0.007898807525634766,0.008125000000000049
50,,2,log2,1,0.88,0.8795685267025335,0.9776333333333334,0.8637499999999999,0.299285888671875,0.00962686538696289,0.016250000000000098
50,,2,log2,2,0.865,0.8641802016772635,0.9750541666666667,0.8568749999999999,0.2882249355316162,0.008739709854125977,0.008125000000000049
50,,5,sqrt,1,0.8675,0.8670001290671944,0.9761958333333334,0.860625,0.3594169616699219,0.018031835556030273,0.0068750000000000755
50,,5,sqrt,2,0.88,0.8794813357889352,0.9793125,0.869375,0.3752293586730957,0.013820886611938477,0.010624999999999996
50,,5,log2,1,0.8675,0.8670001290671944,0.9761958333333334,0.860625,0.7488939762115479,0.01244807243347168,0.0068750000000000755
50,,5,log2,2,0.88,0.8794813357889352,0.9793125,0.869375,0.5316469669342041,0.008157014846801758,0.010624999999999996
50,10.0,2,sqrt,1,0.85,0.8494135839969209,0.9715416666666667,0.85375,0.25687074661254883,0.011804342269897461,-0.003750000000000031
50,10.0,2,sqrt,2,0.835,0.8344831144403867,0.9734999999999999,0.8525,0.2371068000793457,0.012791872024536133,-0.01750000000000007
50,10.0,2,log2,1,0.85,0.8494135839969209,0.9715416666666667,0.85375,0.33246803283691406,0.055871009826660156,-0.003750000000000031
50,10.0,2,log2,2,0.835,0.8344831144403867,0.9734999999999999,0.8525,0.34862685203552246,0.024643898010253906,-0.01750000000000007
50,10.0,5,sqrt,1,0.8525,0.8513735607188679,0.971425,0.8556249999999999,0.5852539539337158,0.012965202331542969,-0.0031249999999998224
50,10.0,5,sqrt,2,0.86,0.8595439541203342,0.9717666666666667,0.8556250000000001,0.4680800437927246,0.010200023651123047,0.004374999999999907
50,10.0,5,log2,1,0.8525,0.8513735607188679,0.971425,0.8556249999999999,0.28778600692749023,0.010394811630249023,-0.0031249999999998224
50,10.0,5,log2,2,0.86,0.8595439541203342,0.9717666666666667,0.8556250000000001,0.24198293685913086,0.00820779800415039,0.004374999999999907
50,20.0,2,sqrt,1,0.8675,0.867364368355222,0.9775208333333333,0.8637500000000001,0.40088605880737305,0.008781671524047852,0.00374999999999992
50,20.0,2,sqrt,2,0.8675,0.8662220781660119,0.97445,0.8568749999999999,0.31859731674194336,0.012832880020141602,0.010625000000000107
50,20.0,2,log2,1,0.8675,0.867364368355222,0.9775208333333333,0.8637500000000001,0.2560877799987793,0.0073430538177490234,0.00374999999999992
50,20.0,2,log2,2,0.8675,0.8662220781660119,0.97445,0.8568749999999999,0.3992340564727783,0.011082887649536133,0.010625000000000107
50,20.0,5,sqrt,1,0.8675,0.8666700761997755,0.9751958333333333,0.860625,0.30553102493286133,0.008723974227905273,0.0068750000000000755
50,20.0,5,sqrt,2,0.88,0.8794813357889352,0.9793125,0.868125,0.2760889530181885,0.008279085159301758,0.011874999999999969
50,20.0,5,log2,1,0.8675,0.8666700761997755,0.9751958333333333,0.860625,0.507086992263794,0.01746988296508789,0.0068750000000000755
50,20.0,5,log2,2,0.88,0.8794813357889352,0.9793125,0.868125,0.7623071670532227,0.021409988403320312,0.011874999999999969
100,,2,sqrt,1,0.8825,0.8821523768075707,0.9790083333333334,0.8681249999999998,0.7012510299682617,0.023215055465698242,0.014375000000000138
100,,2,sqrt,2,0.8625,0.8613994138647547,0.9776333333333334,0.866875,1.0766980648040771,0.021917343139648438,-0.004374999999999907
100,,2,log2,1,0.8825,0.8821523768075707,0.9790083333333334,0.8681249999999998,0.7194609642028809,0.019604921340942383,0.014375000000000138
100,,2,log2,2,0.8625,0.8613994138647547,0.9776333333333334,0.866875,0.7157008647918701,0.0182950496673584,-0.004374999999999907
100,,5,sqrt,1,0.87,0.8697086572722068,0.9786583333333333,0.8675,0.8306078910827637,0.01814103126525879,0.0024999999999999467
100,,5,sqrt,2,0.875,0.8746471251850094,0.9791708333333333,0.871875,0.8897898197174072,0.0165250301361084,0.0031250000000000444
100,,5,log2,1,0.87,0.8697086572722068,0.9786583333333333,0.8675,0.8564143180847168,0.029890775680541992,0.0024999999999999467
100,,5,log2,2,0.875,0.8746471251850094,0.9791708333333333,0.871875,0.7769217491149902,0.022007226943969727,0.0031250000000000444
100,10.0,2,sqrt,1,0.85,0.8497448086102567,0.9737499999999999,0.8600000000000001,0.4843127727508545,0.016238927841186523,-0.01000000000000012
100,10.0,2,sqrt,2,0.865,0.8651003743941935,0.9763750000000001,0.86875,0.5194380283355713,0.01584315299987793,-0.003750000000000031
100,10.0,2,log2,1,0.85,0.8497448086102567,0.9737499999999999,0.8600000000000001,0.9123871326446533,0.01518106460571289,-0.01000000000000012
100,10.0,2,log2,2,0.865,0.8651003743941935,0.9763750000000001,0.86875,0.5862951278686523,0.014068841934204102,-0.003750000000000031
100,10.0,5,sqrt,1,0.8475,0.8472342970959491,0.9739416666666667,0.8618749999999998,0.7186739444732666,0.024824142456054688,-0.014374999999999805
100,10.0,5,sqrt,2,0.8625,0.8619450255163943,0.9743916666666668,0.8587499999999999,0.6031551361083984,0.013806819915771484,0.003750000000000142
100,10.0,5,log2,1,0.8475,0.8472342970959491,0.9739416666666667,0.8618749999999998,0.8389842510223389,0.015513896942138672,-0.014374999999999805
100,10.0,5,log2,2,0.8625,0.8619450255163943,0.9743916666666668,0.8587499999999999,0.6409687995910645,0.014866113662719727,0.003750000000000142
100,20.0,2,sqrt,1,0.88,0.8796439700349492,0.9791333333333334,0.8700000000000001,1.0596160888671875,0.03384804725646973,0.009999999999999898
100,20.0,2,sqrt,2,0.8675,0.8665915692033422,0.9773375000000001,0.866875,0.5066220760345459,0.016283035278320312,0.0006250000000000977
100,20.0,2,log2,1,0.88,0.8796439700349492,0.9791333333333334,0.8700000000000001,0.554283857345581,0.015808820724487305,0.009999999999999898
100,20.0,2,log2,2,0.8675,0.8665915692033422,0.9773375000000001,0.866875,0.4986300468444824,0.0156400203704834,0.0006250000000000977
100,20.0,5,sqrt,1,0.8725,0.8721639696791825,0.9784250000000001,0.8668750000000001,0.9650619029998779,0.03726792335510254,0.005624999999999991
100,20.0,5,sqrt,2,0.875,0.8746471251850094,0.9790125000000001,0.871875,0.6461071968078613,0.01597905158996582,0.0031250000000000444
100,20.0,5,log2,1,0.8725,0.8721639696791825,0.9784250000000001,0.8668750000000001,0.9942498207092285,0.031141042709350586,0.005624999999999991
100,20.0,5,log2,2,0.875,0.8746471251850094,0.9790125000000001,0.871875,0.5842268466949463,0.017217159271240234,0.0031250000000000444
200,,2,sqrt,1,0.885,0.8849539815926372,0.9808458333333333,0.8724999999999999,1.8905489444732666,0.06856608390808105,0.012500000000000067
200,,2,sqrt,2,0.88,0.8793325864834571,0.9805666666666666,0.8674999999999999,2.1840980052948,0.13050317764282227,0.012500000000000067
200,,2,log2,1,0.885,0.8849539815926372,0.9808458333333333,0.8724999999999999,1.33243989944458,0.035305023193359375,0.012500000000000067
200,,2,log2,2,0.88,0.8793325864834571,0.9805666666666666,0.8674999999999999,1.9264137744903564,0.05496621131896973,0.012500000000000067
200,,5,sqrt,1,0.8725,0.8721823782686028,0.9813583333333334,0.8625,1.264413833618164,0.05087590217590332,0.010000000000000009
200,,5,sqrt,2,0.8775,0.877016278110263,0.9807916666666666,0.8712499999999999,1.801666021347046,0.052633047103881836,0.006250000000000089
200,,5,log2,1,0.8725,0.8721823782686028,0.9813583333333334,0.8625,1.5591578483581543,0.09024596214294434,0.010000000000000009
200,,5,log2,2,0.8775,0.877016278110263,0.9807916666666666,0.8712499999999999,1.9011709690093994,0.04723024368286133,0.006250000000000089
200,10.0,2,sqrt,1,0.855,0.8546262921028663,0.977925,0.865625,0.981795072555542,0.029819965362548828,-0.010624999999999996
