n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,0.85,0.8490008245722532,0.9662652224034642,0.8225,0.3735220432281494,0.007031679153442383
50,,2,sqrt,2,0.865,0.8653788001037668,0.9653265037167362,0.83625,0.2977910041809082,0.0067250728607177734
50,,2,log2,1,0.85,0.8490008245722532,0.9662652224034642,0.8225,0.28150510787963867,0.0060727596282958984
50,,2,log2,2,0.865,0.8653788001037668,0.9653265037167362,0.83625,0.24102497100830078,0.016859054565429688
50,,5,sqrt,1,0.825,0.824416043645181,0.9642782378358694,0.83125,0.3015611171722412,0.01489114761352539
50,,5,sqrt,2,0.84,0.8400940094009399,0.9595360531589852,0.8462499999999998,0.20592498779296875,0.007764101028442383
50,,5,log2,1,0.825,0.824416043645181,0.9642782378358694,0.83125,0.2304246425628662,0.017068147659301758
50,,5,log2,2,0.84,0.8400940094009399,0.9595360531589852,0.8462499999999998,0.4943392276763916,0.009504079818725586
50,10.0,2,sqrt,1,0.855,0.854681859210292,0.9671838833155377,0.8300000000000001,0.2608151435852051,0.006894826889038086
50,10.0,2,sqrt,2,0.84,0.8396519841084727,0.965943022190431,0.83125,0.47480010986328125,0.016693115234375
50,10.0,2,log2,1,0.855,0.854681859210292,0.9671838833155377,0.8300000000000001,0.23171281814575195,0.012884140014648438
50,10.0,2,log2,2,0.84,0.8396519841084727,0.965943022190431,0.83125,0.30971789360046387,0.010986804962158203
50,10.0,5,sqrt,1,0.855,0.854200830747673,0.9632363021443077,0.8249999999999998,0.2915310859680176,0.008202075958251953
50,10.0,5,sqrt,2,0.82,0.8198751449252656,0.9582725301098706,0.8387499999999999,0.3678579330444336,0.012768030166625977
50,10.0,5,log2,1,0.855,0.854200830747673,0.9632363021443077,0.8249999999999998,0.1940770149230957,0.015400886535644531
50,10.0,5,log2,2,0.82,0.8198751449252656,0.9582725301098706,0.8387499999999999,0.3178858757019043,0.01250600814819336
50,20.0,2,sqrt,1,0.85,0.8490008245722532,0.9661987728706309,0.8225,0.5338680744171143,0.006700992584228516
50,20.0,2,sqrt,2,0.865,0.8653788001037668,0.9653265037167362,0.83625,0.19939613342285156,0.03457283973693848
50,20.0,2,log2,1,0.85,0.8490008245722532,0.9661987728706309,0.8225,0.4721400737762451,0.010896921157836914
50,20.0,2,log2,2,0.865,0.8653788001037668,0.9653265037167362,0.83625,0.27150702476501465,0.009839057922363281
50,20.0,5,sqrt,1,0.825,0.824416043645181,0.9642782378358694,0.83125,0.24040675163269043,0.006610393524169922
50,20.0,5,sqrt,2,0.84,0.8400940094009399,0.9595360531589852,0.8462499999999998,0.2173910140991211,0.018787145614624023
50,20.0,5,log2,1,0.825,0.824416043645181,0.9642782378358694,0.83125,0.5091416835784912,0.0070002079010009766
