n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,0.855,0.854298127498422,0.9659818683213541,0.825,0.24304723739624023,0.011847972869873047
50,,2,sqrt,2,0.865,0.8653788001037668,0.965491391815182,0.83625,0.23607611656188965,0.017180919647216797
50,,2,log2,1,0.855,0.854298127498422,0.9659818683213541,0.825,0.2593967914581299,0.012140035629272461
50,,2,log2,2,0.865,0.8653788001037668,0.965491391815182,0.83625,0.6168789863586426,0.005777120590209961
50,,5,sqrt,1,0.825,0.824032356843932,0.9645079932839841,0.835,0.30370378494262695,0.04066109657287598
50,,5,sqrt,2,0.84,0.8403295360247338,0.960139238274091,0.8487499999999999,0.4673788547515869,0.00732111930847168
50,,5,log2,1,0.825,0.824032356843932,0.9645079932839841,0.835,0.395082950592041,0.008111000061035156
50,,5,log2,2,0.84,0.8403295360247338,0.960139238274091,0.8487499999999999,0.3379096984863281,0.010601997375488281
50,10.0,2,sqrt,1,0.855,0.854681859210292,0.9674506122285351,0.8275,0.39992594718933105,0.008615970611572266
50,10.0,2,sqrt,2,0.835,0.8345803546910168,0.9663434979556514,0.835,0.20447182655334473,0.010512113571166992
50,10.0,2,log2,1,0.855,0.854681859210292,0.9674506122285351,0.8275,0.6457750797271729,0.03725075721740723
50,10.0,2,log2,2,0.835,0.8345803546910168,0.9663434979556514,0.835,0.16972684860229492,0.006824016571044922
50,10.0,5,sqrt,1,0.85,0.8489368543500332,0.9636380599637517,0.8237499999999999,0.1618640422821045,0.006674051284790039
50,10.0,5,sqrt,2,0.83,0.8296705629620269,0.9587401275582013,0.8412499999999999,0.16017508506774902,0.0066051483154296875
50,10.0,5,log2,1,0.85,0.8489368543500332,0.9636380599637517,0.8237499999999999,0.17474603652954102,0.0073549747467041016
50,10.0,5,log2,2,0.83,0.8296705629620269,0.9587401275582013,0.8412499999999999,0.15833806991577148,0.006344795227050781
50,20.0,2,sqrt,1,0.855,0.854298127498422,0.9659154187885208,0.825,0.5302920341491699,0.009529829025268555
50,20.0,2,sqrt,2,0.865,0.8653788001037668,0.965491391815182,0.83625,0.174896240234375,0.00745081901550293
50,20.0,2,log2,1,0.855,0.854298127498422,0.9659154187885208,0.825,0.19404292106628418,0.013855934143066406
50,20.0,2,log2,2,0.865,0.8653788001037668,0.965491391815182,0.83625,0.3314690589904785,0.007912158966064453
50,20.0,5,sqrt,1,0.825,0.824032356843932,0.9645079932839841,0.835,0.47014403343200684,0.007884979248046875
