n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,0.7575083426028921,0.7029309740952876,0.6697218911109502,0.7458970792767732,0.8758020401000977,0.02704596519470215
50,,2,sqrt,2,0.7196885428253615,0.6918186486604236,0.6634596822209764,0.7186369958275381,0.6595079898834229,0.02289414405822754
50,,2,log2,1,0.7575083426028921,0.7029309740952876,0.6697218911109502,0.7458970792767732,0.7318441867828369,0.02428603172302246
50,,2,log2,2,0.7196885428253615,0.6918186486604236,0.6634596822209764,0.7186369958275381,0.6322879791259766,0.024542808532714844
50,,5,sqrt,1,0.7274749721913237,0.6925791276634614,0.6671024690315941,0.731710709318498,0.627377986907959,0.021464109420776367
50,,5,sqrt,2,0.7135706340378198,0.6902434626402297,0.6741774645383607,0.7087621696801113,0.6175460815429688,0.02141427993774414
50,,5,log2,1,0.7274749721913237,0.6925791276634614,0.6671024690315941,0.731710709318498,0.6525578498840332,0.0250091552734375
50,,5,log2,2,0.7135706340378198,0.6902434626402297,0.6741774645383607,0.7087621696801113,0.6552309989929199,0.020477771759033203
50,10.0,2,sqrt,1,0.557285873192436,0.6004768072976853,0.6261884749704939,0.5945757997218358,0.440885066986084,0.015635013580322266
50,10.0,2,sqrt,2,0.5350389321468298,0.5880001459150704,0.6311439305563435,0.5737134909596662,0.40210795402526855,0.015387296676635742
50,10.0,2,log2,1,0.557285873192436,0.6004768072976853,0.6261884749704939,0.5945757997218358,0.4124917984008789,0.016790151596069336
50,10.0,2,log2,2,0.5350389321468298,0.5880001459150704,0.6311439305563435,0.5737134909596662,0.4028291702270508,0.015400886535644531
50,10.0,5,sqrt,1,0.5511679644048944,0.6009834440145245,0.6331500152700544,0.5787204450625869,0.5219399929046631,0.017686843872070312
50,10.0,5,sqrt,2,0.5339265850945495,0.5858178529702608,0.6263530219563392,0.5657858136300418,0.4050760269165039,0.016876935958862305
50,10.0,5,log2,1,0.5511679644048944,0.6009834440145245,0.6331500152700544,0.5787204450625869,0.4107499122619629,0.015642166137695312
50,10.0,5,log2,2,0.5339265850945495,0.5858178529702608,0.6263530219563392,0.5657858136300418,0.3955729007720947,0.015921831130981445
50,20.0,2,sqrt,1,0.7497219132369299,0.697457144803915,0.6544898674252349,0.7484005563282337,1.0761420726776123,0.024038076400756836
50,20.0,2,sqrt,2,0.7135706340378198,0.6882864890650838,0.6813866149506504,0.7139082058414465,0.5958230495452881,0.021319866180419922
50,20.0,2,log2,1,0.7497219132369299,0.697457144803915,0.6544898674252349,0.7484005563282337,0.6654472351074219,0.028068065643310547
50,20.0,2,log2,2,0.7135706340378198,0.6882864890650838,0.6813866149506504,0.7139082058414465,0.5934867858886719,0.02165818214416504
50,20.0,5,sqrt,1,0.7246941045606229,0.6937254059000217,0.6722384735963252,0.7248956884561892,0.6947052478790283,0.02510809898376465
50,20.0,5,sqrt,2,0.7146829810901001,0.6931400666952637,0.6737721029270702,0.7086230876216968,0.5911381244659424,0.026089906692504883
50,20.0,5,log2,1,0.7246941045606229,0.6937254059000217,0.6722384735963252,0.7248956884561892,0.624608039855957,0.02293682098388672
50,20.0,5,log2,2,0.7146829810901001,0.6931400666952637,0.6737721029270702,0.7086230876216968,0.5914528369903564,0.02086615562438965
100,,2,sqrt,1,0.7558398220244716,0.698284100956859,0.6682735334774895,0.7471488178025035,1.695410966873169,0.06564092636108398
100,,2,sqrt,2,0.7263626251390434,0.6944694882696665,0.6758405976340425,0.7204450625869263,1.2709071636199951,0.19228696823120117
100,,2,log2,1,0.7558398220244716,0.698284100956859,0.6682735334774895,0.7471488178025035,1.6006040573120117,0.0675210952758789
100,,2,log2,2,0.7263626251390434,0.6944694882696665,0.6758405976340425,0.7204450625869263,1.3007562160491943,0.2179412841796875
100,,5,sqrt,1,0.7324805339265851,0.6971394350986887,0.6743151269143437,0.7315716272600834,1.2644894123077393,0.07853817939758301
100,,5,sqrt,2,0.7169076751946607,0.6881193466075745,0.6741608309948314,0.7141863699582753,1.1822881698608398,0.048146963119506836
100,,5,log2,1,0.7324805339265851,0.6971394350986887,0.6743151269143437,0.7315716272600834,1.274662971496582,0.06537389755249023
100,,5,log2,2,0.7169076751946607,0.6881193466075745,0.6741608309948314,0.7141863699582753,1.2202630043029785,0.06006813049316406
100,10.0,2,sqrt,1,0.582313681868743,0.6206683084211225,0.6305238312719288,0.6012517385257302,0.8043568134307861,0.02783513069152832
100,10.0,2,sqrt,2,0.5433815350389322,0.5934317730743536,0.6303082188509199,0.5852573018080668,0.8238139152526855,0.029918193817138672
100,10.0,2,log2,1,0.582313681868743,0.6206683084211225,0.6305238312719288,0.6012517385257302,0.807194709777832,0.03814291954040527
100,10.0,2,log2,2,0.5433815350389322,0.5934317730743536,0.6303082188509199,0.5852573018080668,0.7932250499725342,0.02845311164855957
100,10.0,5,sqrt,1,0.5634037819799778,0.6107555023508855,0.636502447711506,0.5831710709318497,0.8177239894866943,0.03282880783081055
100,10.0,5,sqrt,2,0.5472747497219133,0.5980521462327657,0.6344719441099264,0.5666203059805286,0.7866220474243164,0.03115701675415039
100,10.0,5,log2,1,0.5634037819799778,0.6107555023508855,0.636502447711506,0.5831710709318497,0.810845136642456,0.03100275993347168
100,10.0,5,log2,2,0.5472747497219133,0.5980521462327657,0.6344719441099264,0.5666203059805286,0.7777478694915771,0.03093886375427246
100,20.0,2,sqrt,1,0.7563959955506118,0.7026372953493586,0.6638716123769715,0.7481223922114048,1.5315980911254883,0.08179402351379395
100,20.0,2,sqrt,2,0.7252502780867631,0.6952292386018236,0.6764066126202273,0.7190542420027816,1.1501262187957764,0.0397188663482666
100,20.0,2,log2,1,0.7563959955506118,0.7026372953493586,0.6638716123769715,0.7481223922114048,1.3402481079101562,0.1707608699798584
100,20.0,2,log2,2,0.7252502780867631,0.6952292386018236,0.6764066126202273,0.7190542420027816,1.1552188396453857,0.040560007095336914
100,20.0,5,sqrt,1,0.7291434927697441,0.6954134144767912,0.6707411798331506,0.7301808066759388,1.249324083328247,0.05051016807556152
100,20.0,5,sqrt,2,0.7202447163515017,0.6959469034868032,0.6770703472144495,0.7133518776077886,1.1304430961608887,0.045272111892700195
100,20.0,5,log2,1,0.7291434927697441,0.6954134144767912,0.6707411798331506,0.7301808066759388,1.2130780220031738,0.05272078514099121
100,20.0,5,log2,2,0.7202447163515017,0.6959469034868032,0.6770703472144495,0.7133518776077886,1.174041986465454,0.04688596725463867
200,,2,sqrt,1,0.7602892102335929,0.7016552844673976,0.6744007348285976,0.7484005563282337,3.0517849922180176,0.12442493438720703
200,,2,sqrt,2,0.7274749721913237,0.6964204910996633,0.6782620029516627,0.7230876216968011,3.2770369052886963,0.10007309913635254
200,,2,log2,1,0.7602892102335929,0.7016552844673976,0.6744007348285976,0.7484005563282337,2.9908268451690674,0.11075806617736816
200,,2,log2,2,0.7274749721913237,0.6964204910996633,0.6782620029516627,0.7230876216968011,2.5198211669921875,0.08435201644897461
200,,5,sqrt,1,0.7374860956618465,0.700115307551162,0.6854188213172911,0.7317107093184979,2.6426901817321777,0.08647918701171875
200,,5,sqrt,2,0.7208008898776418,0.6902330963924544,0.6770122216850893,0.715855354659249,2.473034143447876,0.08718276023864746
200,,5,log2,1,0.7374860956618465,0.700115307551162,0.6854188213172911,0.7317107093184979,2.7425808906555176,0.08766674995422363
200,,5,log2,2,0.7208008898776418,0.6902330963924544,0.6770122216850893,0.715855354659249,3.1210880279541016,0.08421897888183594
200,10.0,2,sqrt,1,0.5850945494994438,0.6228909416782625,0.6255993695044811,0.6144645340751043,1.8286199569702148,0.05644989013671875
200,10.0,2,sqrt,2,0.5634037819799778,0.6095272301184034,0.6336626522738107,0.5906815020862308,1.708691120147705,0.06557607650756836
200,10.0,2,log2,1,0.5850945494994438,0.6228909416782625,0.6255993695044811,0.6144645340751043,1.8109228610992432,0.056735992431640625
